timestamp,pm25,prev_pm25,next_pm25,aqi_category
2025-01-02T13:30:00.000Z,217.0,198.0,217.0,Very Unhealthy
2025-01-02T13:30:00.000Z,217.0,217.0,262.0,Very Unhealthy
2025-01-02T14:30:00.000Z,262.0,217.0,262.0,Very Unhealthy
2025-01-02T14:30:00.000Z,262.0,262.0,308.0,Very Unhealthy
2025-01-02T15:30:00.000Z,308.0,262.0,308.0,Hazardous
2025-01-02T15:30:00.000Z,308.0,308.0,291.0,Hazardous
2025-01-02T16:30:00.000Z,291.0,308.0,291.0,Very Unhealthy
2025-01-02T16:30:00.000Z,291.0,291.0,210.0,Very Unhealthy
2025-01-02T17:30:00.000Z,210.0,291.0,210.0,Very Unhealthy
2025-01-02T17:30:00.000Z,210.0,210.0,208.0,Very Unhealthy
2025-01-02T18:30:00.000Z,208.0,210.0,208.0,Very Unhealthy
2025-01-02T18:30:00.000Z,208.0,208.0,254.0,Very Unhealthy
2025-01-04T19:30:00.000Z,254.0,208.0,254.0,Very Unhealthy
2025-01-04T19:30:00.000Z,254.0,254.0,219.0,Very Unhealthy
2025-01-04T20:30:00.000Z,219.0,254.0,219.0,Very Unhealthy
2025-01-04T20:30:00.000Z,219.0,219.0,180.0,Very Unhealthy
2025-01-12T19:30:00.000Z,180.0,219.0,180.0,Unhealthy
2025-01-12T19:30:00.000Z,180.0,180.0,150.0,Unhealthy
2025-01-12T20:30:00.000Z,150.0,180.0,150.0,Unhealthy for Sensitive Groups
2025-01-12T20:30:00.000Z,150.0,150.0,138.0,Unhealthy for Sensitive Groups
2025-01-12T21:30:00.000Z,138.0,150.0,138.0,Unhealthy for Sensitive Groups
2025-01-12T21:30:00.000Z,138.0,138.0,121.0,Unhealthy for Sensitive Groups
2025-01-12T22:30:00.000Z,121.0,138.0,121.0,Unhealthy for Sensitive Groups
2025-01-12T22:30:00.000Z,121.0,121.0,108.0,Unhealthy for Sensitive Groups
2025-01-12T23:30:00.000Z,108.0,121.0,108.0,Unhealthy for Sensitive Groups
2025-01-12T23:30:00.000Z,108.0,108.0,98.0,Unhealthy for Sensitive Groups
2025-01-13T00:30:00.000Z,98.0,108.0,98.0,Moderate
2025-01-13T00:30:00.000Z,98.0,98.0,84.0,Moderate
2025-01-13T01:30:00.000Z,84.0,98.0,84.0,Moderate
2025-01-13T01:30:00.000Z,84.0,84.0,88.0,Moderate
2025-01-13T02:30:00.000Z,88.0,84.0,88.0,Moderate
2025-01-13T02:30:00.000Z,88.0,88.0,106.0,Moderate
2025-01-13T03:30:00.000Z,106.0,88.0,106.0,Unhealthy for Sensitive Groups
2025-01-13T03:30:00.000Z,106.0,106.0,111.0,Unhealthy for Sensitive Groups
2025-01-13T04:30:00.000Z,111.0,106.0,111.0,Unhealthy for Sensitive Groups
2025-01-13T04:30:00.000Z,111.0,111.0,121.0,Unhealthy for Sensitive Groups
2025-01-13T05:30:00.000Z,121.0,111.0,121.0,Unhealthy for Sensitive Groups
2025-01-13T05:30:00.000Z,121.0,121.0,97.0,Unhealthy for Sensitive Groups
2025-01-13T06:30:00.000Z,97.0,121.0,97.0,Moderate
2025-01-13T06:30:00.000Z,97.0,97.0,110.0,Moderate
2025-01-13T07:30:00.000Z,110.0,97.0,110.0,Unhealthy for Sensitive Groups
2025-01-13T07:30:00.000Z,110.0,110.0,104.0,Unhealthy for Sensitive Groups
2025-01-13T08:30:00.000Z,104.0,110.0,104.0,Unhealthy for Sensitive Groups
2025-01-13T08:30:00.000Z,104.0,104.0,114.0,Unhealthy for Sensitive Groups
